date,name,steps,distance_km,calories,active_min,resting_hr,sleep_h,run_km
2026-06-01,Laco,16213,0.0,895.0,40,49,7.1,12.62
2026-06-02,Laco,17005,0.0,677.0,111,55,4.6,5.75
2026-06-03,Laco,5587,0.0,101.0,44,54,6.4,0.0
2026-06-04,Laco,18470,0.0,861.0,91,52,6.8,8.01
2026-06-05,Laco,5916,0.0,131.0,41,57,6.3,0.0
2026-06-06,Laco,28150,0.0,1567.0,178,51,6.8,11.83
2026-06-07,Laco,11978,0.0,310.0,108,64,4.9,0.0
2026-06-08,Laco,16502,0.0,452.0,142,51,6.9,0.0
2026-06-09,Laco,9057,0.0,415.0,44,49,6.8,4.82
2026-06-10,Laco,8738,0.0,277.0,50,49,8.1,0.0
2026-06-11,Laco,19257,0.0,1080.0,79,52,5.7,11.57
2026-06-12,Laco,11023,0.0,304.0,111,56,6.8,0.0
2026-06-13,Laco,14115,0.0,412.0,126,57,5.5,0.0
2026-06-14,Laco,15855,0.0,521.0,158,56,4.7,0.0
2026-06-15,Laco,13735,0.0,322.0,127,55,8.2,0.0
2026-06-16,Laco,2226,0.0,31.0,18,54,5.8,0.0
