date,name,steps,distance_km,calories,active_min,resting_hr,sleep_h,run_km
2026-05-01,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-02,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-03,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-04,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-05,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-06,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-07,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-08,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-09,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-10,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-11,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-12,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-13,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-14,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-15,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-16,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-17,Lumi,7711,0.0,243.0,18,76,0.0,0.0
2026-05-18,Lumi,3183,0.0,176.0,26,78,0.0,0.0
2026-05-19,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-20,Lumi,8403,0.0,193.0,9,79,0.0,0.0
2026-05-21,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-22,Lumi,2963,0.0,82.0,4,72,0.0,0.0
2026-05-23,Lumi,25811,0.0,734.0,176,76,0.0,0.0
2026-05-24,Lumi,22216,0.0,677.0,152,72,0.0,0.0
2026-05-25,Lumi,4777,0.0,127.0,29,74,0.0,0.0
2026-05-26,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-27,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-28,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-29,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-30,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-05-31,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-06-01,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-06-02,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-06-03,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-06-04,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-06-05,Lumi,9411,0.0,256.0,70,76,0.0,0.0
2026-06-06,Lumi,15124,0.0,918.0,111,59,8.6,0.0
2026-06-07,Lumi,0,0.0,0.0,0,0,0.0,0.0
2026-06-08,Lumi,13314,0.0,412.0,73,66,0.0,0.17
2026-06-09,Lumi,9811,0.0,227.0,77,61,3.7,0.0
2026-06-10,Lumi,14694,0.0,424.0,56,58,6.6,0.0
2026-06-11,Lumi,12771,0.0,334.0,41,58,3.8,0.0
2026-06-12,Lumi,9718,0.0,228.0,50,63,3.5,0.0
2026-06-13,Lumi,10853,0.0,555.0,118,65,6.5,0.0
2026-06-14,Lumi,10159,0.0,370.0,100,65,10.2,0.0
2026-06-15,Lumi,8996,0.0,219.0,27,63,3.4,0.0
2026-06-16,Lumi,0,0.0,0.0,0,0,0.0,0.0
